Company,Price,Price Extended Hours,P/E,Market Cap,Ticker,Open,Previous Close,52 Wk High,52 Wk Low,Industry,Shares Outstanding,Volume,Volume Average,Change,Change %,Change % Extended Hours,Change Extended Hours,Date
,34.41,34.85,6.0492,35584688580.0,HPQ,34.26,33.75,41.47,26.11,"Computers, Phones & Household Electronics",1034138000.0,12683550.0,11978128.0,0.66,0.019556,0.012787,0.44,2022-06-24
,44.89,45.48,25.7778,24512435884.0,HRL,45.25,45.12,55.11,40.48,Food & Tobacco,546055600.0,1933702.0,2004494.0,-0.23,-0.005098,0.013143,0.59,2022-06-24
,74.97,74.79,16.3149,10349668476.0,HSIC,75.46,75.0,92.68,70.25,Healthcare Equipment & Supplies,138050800.0,1252931.0,720723.0,-0.03,-0.0004,-0.002401,-0.18,2022-06-24
,17.61,17.46,48.1017,12587224731.0,HST,17.4,17.18,21.63,14.67,Residential & Commercial REIT,714777100.0,7710985.0,9375818.0,0.43,0.025029,-0.008518,-0.15,2022-06-24
,206.19,208.1,26.5884,42393612474.0,HSY,207.68,206.79,231.595,167.8,Food & Tobacco,205604600.0,956090.0,1163063.0,-0.6,-0.0029010000000000004,0.009263,1.91,2022-06-24
,433.22,435.0,17.9814,54799470748.0,HUM,425.82,423.93,472.68,351.2,Healthcare Providers & Services,126493400.0,820697.0,672236.0,9.29,0.021914,0.004109,1.78,2022-06-24
,32.71,32.46,44.7539,13669970211.0,HWM,32.67,32.2,37.66,27.41,Aerospace & Defense,417914100.0,3476636.0,2544922.0,0.51,0.015839000000000002,-0.007643,-0.25,2022-06-24
,137.06,137.8,21.655,123276602218.0,IBM,136.01,135.72,144.73,114.56,Software & IT Services,899435300.0,4606887.0,4814863.0,1.34,0.009873,0.005399,0.74,2022-06-24
,95.63,97.89,13.0592,53387006269.0,ICE,94.83,94.05,139.79,93.45,Investment Banking & Investment Services,558266300.0,3087528.0,3279031.0,1.58,0.0168,0.023633,2.26,2022-06-24
,333.94,331.0,38.6154,28053374386.0,IDXX,333.45,328.99,706.95,322.78,Healthcare Equipment & Supplies,84007230.0,640757.0,697118.0,4.95,0.015045999999999999,-0.008804,-2.94,2022-06-24
,179.66,179.98,28.7591,13655167892.0,IEX,181.1,179.41,240.33,177.24,"Machinery, Equipment & Components",76005610.0,369972.0,387699.0,0.25,0.0013930000000000001,0.001781,0.32,2022-06-24
,116.43,116.5291,53.8349,29670788340.0,IFF,119.27,117.17,157.08,113.4,Food & Tobacco,254838000.0,1287017.0,1210913.0,-0.74,-0.006316,0.0008512999999999999,0.09911,2022-06-24
,193.63,194.48,41.3139,30419273000.0,ILMN,192.03,189.41,526.0,187.3977,Healthcare Equipment & Supplies,157100000.0,2107976.0,1386807.0,4.22,0.02228,0.00439,0.85,2022-06-24
,68.55,68.55,15.7535,15184167750.0,INCY,66.35,66.18,88.26,61.91,Pharmaceuticals,221505000.0,1533079.0,1326933.0,2.37,0.035811,0.0,0.0,2022-06-24
,0.0989,,,25508357.0,WOWI,0.0989,0.0989,0.1795,0.022,Telecommunications Services,257920700.0,100.0,670.0,0.0,0.0,,,2022-06-24
